| Coremark | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_OFF | 1364539 |
| Coremark | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_OFF | 1364535 |
| Coremark | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_OFF | 1364539 |
| Coremark | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_OFF | 1364542 |
| Coremark | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_OFF | 1364542 |
| Coremark | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_OFF | 1364542 |
| Coremark | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_OFF | 1364539 |
| Coremark | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_OFF | 1364542 |
| Coremark | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_OFF | 1364542 |
| Coremark | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_OFF | 1364539 |
| Coremark | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_ON | 1364765 |
| Coremark | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_ON | 1364765 |
| Coremark | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_ON | 1364762 |
| Coremark | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_ON | 1364765 |
| Coremark | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_ON | 1364762 |
| Coremark | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_ON | 1364765 |
| Coremark | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_ON | 1364762 |
| Coremark | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_ON | 1364765 |
| Coremark | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_ON | 1364765 |
| Coremark | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_ON | 1364765 |
| Coremark | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_OFF | 1364436 |
| Coremark | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_OFF | 1364438 |
| Coremark | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_OFF | 1364438 |
| Coremark | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_OFF | 1364438 |
| Coremark | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_OFF | 1364436 |
| Coremark | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_OFF | 1364438 |
| Coremark | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_OFF | 1364438 |
| Coremark | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_OFF | 1364438 |
| Coremark | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_OFF | 1364438 |
| Coremark | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_OFF | 1364438 |
| Coremark | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_ON | 1364694 |
| Coremark | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_ON | 1364694 |
| Coremark | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_ON | 1364694 |
| Coremark | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_ON | 1364694 |
| Coremark | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_ON | 1364693 |
| Coremark | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_ON | 1364694 |
| Coremark | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_ON | 1364694 |
| Coremark | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_ON | 1364693 |
| Coremark | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_ON | 1364694 |
| Coremark | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_ON | 1364693 |
| Coremark | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_OFF | 1364549 |
| Coremark | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_OFF | 1364549 |
| Coremark | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_OFF | 1364550 |
| Coremark | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_OFF | 1364550 |
| Coremark | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_OFF | 1364550 |
| Coremark | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_OFF | 1364549 |
| Coremark | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_OFF | 1364549 |
| Coremark | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_OFF | 1364550 |
| Coremark | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_OFF | 1364549 |
| Coremark | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_OFF | 1364550 |
| Coremark | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_ON | 1364792 |
| Coremark | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_ON | 1364788 |
| Coremark | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_ON | 1364792 |
| Coremark | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_ON | 1364792 |
| Coremark | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_ON | 1364792 |
| Coremark | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_ON | 1364792 |
| Coremark | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_ON | 1364792 |
| Coremark | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_ON | 1364792 |
| Coremark | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_ON | 1364788 |
| Coremark | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_ON | 1364792 |
| Coremark | METHOD_AREA | STORAGE_REG | PRIVILEGED_OFF | 1364459 |
| Coremark | METHOD_AREA | STORAGE_REG | PRIVILEGED_OFF | 1364459 |
| Coremark | METHOD_AREA | STORAGE_REG | PRIVILEGED_OFF | 1364459 |
| Coremark | METHOD_AREA | STORAGE_REG | PRIVILEGED_OFF | 1364459 |
| Coremark | METHOD_AREA | STORAGE_REG | PRIVILEGED_OFF | 1364462 |
