Benchmark                 RetTimeMemOff    RetTimeMemOn    RetTimeRegOff    RetTimeRegOn      RetSize  AreaTimeMemOff    AreaTimeMemOn    AreaTimeRegOff    AreaTimeRegOn      AreaSize  CompressTimeMemOff    CompressTimeMemOn    CompressTimeRegOff    CompressTimeRegOn      CompressSize
2                         +0.000%          +0.000%         +0.000%          +0.000%               168  +0.000%           +0.000%          +0.000%           +0.000%                 180  +0.000%               +0.000%              +0.041%               +0.041%                          48
9                         +39.157%         +89.854%        +21.103%         +77.216%              376  +42.325%          +97.280%         +26.468%          +81.465%                484  +75.120%              +127.963%            +38.084%              +95.151%                         76
fasta                     +0.005%          +0.012%         +0.002%          +0.010%               628  +0.006%           +0.014%          +0.003%           +0.010%                 640  +0.010%               +0.018%              +0.004%               +0.012%                         160
bs                        +0.000%          +0.000%         +0.000%          +0.000%               164  +0.000%           +0.000%          -0.027%           -0.027%                 176  +0.000%               +0.000%              -0.027%               -0.027%                          44
huffbench                 +0.005%          +0.011%         +0.002%          +0.009%              7996  +0.005%           +0.012%          +0.002%           +0.009%                8008  +0.009%               +0.016%              +0.004%               +0.011%                        2008
matmult-int               +0.006%          +0.014%         +0.003%          +0.012%               292  +0.007%           +0.016%          +0.003%           +0.012%                 304  +0.012%               +0.021%              +0.005%               +0.015%                          76
statemate                 +0.005%          +0.011%         +0.002%          +0.008%               268  +0.005%           +0.010%          +0.003%           +0.009%                 280  +0.008%               +0.013%              +0.005%               +0.011%                          84
6                         +0.000%          +0.000%         +0.021%          +0.021%               216  +0.000%           +0.000%          +0.000%           +0.000%                 228  +0.000%               +0.000%              +0.000%               +0.000%                          60
nettle-des                +0.006%          +0.016%         +0.003%          +0.014%               292  +0.007%           +0.017%          +0.004%           +0.014%                 304  +0.014%               +0.023%              +0.006%               +0.017%                          76
insertsort                +0.003%          +0.006%         +0.000%          +0.003%               236  +0.003%           +0.009%          +0.001%           +0.003%                 248  +0.005%               +0.011%              +0.001%               +0.006%                          68
nettle-md5                +0.005%          +0.011%         +0.002%          +0.010%               324  +0.005%           +0.010%          +0.004%           +0.007%                 336  +0.010%               +0.016%              +0.004%               +0.011%                          84
AES-GCM-256               +1.272%          +2.934%         +0.685%          +2.524%              4052  +1.377%           +3.174%          +0.860%           +2.658%                4072  +2.452%               +4.181%              +1.239%               +3.101%                        1144
19                        +62.703%         +144.040%       +33.882%         +123.732%             792  +67.784%          +155.914%        +42.348%          +130.503%               772  +120.338%             +205.056%            +60.986%              +152.502%                       204
minver                    +0.006%          +0.012%         +0.002%          +0.010%              2348  +0.006%           +0.016%          +0.002%           +0.010%                2360  +0.010%               +0.019%              +0.004%               +0.012%                         584
newlib-log                +0.007%          +0.015%         +0.004%          +0.010%               276  +0.011%           +0.015%          +0.004%           +0.014%                 288  +0.014%               +0.022%              +0.006%               +0.014%                          72
11                        +50.670%         +116.383%       +27.362%         +99.967%              472  +54.773%          +126.027%        +34.210%          +105.437%               452  +97.238%              +165.702%            +49.281%              +123.254%                       140
janne_complex             +0.011%          +0.012%         +0.012%          +0.004%               268  +0.012%           +0.018%          +0.012%           +0.019%                 280  +0.012%               +0.016%              +0.012%               +0.014%                          76
