| 1 | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_OFF | 1892|
| 1 | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_ON | 1892|
| 1 | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_OFF | 1892|
| 1 | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_ON | 1892|
| 1 | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_OFF | 1892|
| 1 | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_ON | 1892|
| 1 | METHOD_AREA | STORAGE_REG | PRIVILEGED_OFF | 1891|
| 1 | METHOD_AREA | STORAGE_REG | PRIVILEGED_ON | 1891|
| 1 | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_OFF | 1892|
| 1 | METHOD_COUNT | STORAGE_MEMORY | PRIVILEGED_OFF | 0|
| 2 | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_OFF | 2446|
| 2 | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_ON | 2446|
| 2 | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_OFF | 2446|
| 2 | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_ON | 2446|
| 2 | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_OFF | 2446|
| 2 | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_ON | 2446|
| 2 | METHOD_AREA | STORAGE_REG | PRIVILEGED_OFF | 2446|
| 2 | METHOD_AREA | STORAGE_REG | PRIVILEGED_ON | 2446|
| 2 | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_OFF | 2446|
| 2 | METHOD_COUNT | STORAGE_MEMORY | PRIVILEGED_OFF | 0|
| 3 | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_OFF | 3009|
| 3 | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_ON | 3009|
| 3 | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_OFF | 3009|
| 3 | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_ON | 3009|
| 3 | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_OFF | 3009|
| 3 | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_ON | 3009|
| 3 | METHOD_AREA | STORAGE_REG | PRIVILEGED_OFF | 3008|
| 3 | METHOD_AREA | STORAGE_REG | PRIVILEGED_ON | 3009|
| 3 | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_OFF | 3009|
| 3 | METHOD_COUNT | STORAGE_MEMORY | PRIVILEGED_OFF | 0|
| 4 | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_OFF | 3575|
| 4 | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_ON | 3575|
| 4 | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_OFF | 3575|
| 4 | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_ON | 3575|
| 4 | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_OFF | 3575|
| 4 | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_ON | 3575|
| 4 | METHOD_AREA | STORAGE_REG | PRIVILEGED_OFF | 3575|
| 4 | METHOD_AREA | STORAGE_REG | PRIVILEGED_ON | 3575|
| 4 | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_OFF | 3575|
| 4 | METHOD_COUNT | STORAGE_MEMORY | PRIVILEGED_OFF | 0|
| 5 | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_OFF | 4141|
| 5 | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_ON | 4142|
| 5 | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_OFF | 4142|
| 5 | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_ON | 4142|
| 5 | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_OFF | 4142|
| 5 | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_ON | 4142|
| 5 | METHOD_AREA | STORAGE_REG | PRIVILEGED_OFF | 4142|
| 5 | METHOD_AREA | STORAGE_REG | PRIVILEGED_ON | 4142|
| 5 | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_OFF | 4142|
| 5 | METHOD_COUNT | STORAGE_MEMORY | PRIVILEGED_OFF | 0|
| 6 | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_OFF | 4696|
| 6 | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_ON | 4696|
| 6 | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_OFF | 4697|
| 6 | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_ON | 4697|
| 6 | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_OFF | 4696|
| 6 | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_ON | 4696|
| 6 | METHOD_AREA | STORAGE_REG | PRIVILEGED_OFF | 4696|
| 6 | METHOD_AREA | STORAGE_REG | PRIVILEGED_ON | 4696|
| 6 | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_OFF | 4696|
| 6 | METHOD_COUNT | STORAGE_MEMORY | PRIVILEGED_OFF | 0|
| 7 | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_OFF | 5270|
| 7 | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_ON | 5272|
| 7 | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_OFF | 5269|
| 7 | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_ON | 5270|
| 7 | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_OFF | 5269|
| 7 | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_ON | 5274|
| 7 | METHOD_AREA | STORAGE_REG | PRIVILEGED_OFF | 5271|
| 7 | METHOD_AREA | STORAGE_REG | PRIVILEGED_ON | 5273|
| 7 | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_OFF | 5271|
| 7 | METHOD_COUNT | STORAGE_MEMORY | PRIVILEGED_OFF | 1|
| 8 | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_OFF | 10841|
| 8 | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_ON | 13841|
| 8 | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_OFF | 9779|
| 8 | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_ON | 13095|
| 8 | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_OFF | 11031|
| 8 | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_ON | 14281|
| 8 | METHOD_AREA | STORAGE_REG | PRIVILEGED_OFF | 10090|
| 8 | METHOD_AREA | STORAGE_REG | PRIVILEGED_ON | 13343|
| 8 | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_OFF | 12966|
| 8 | METHOD_COUNT | STORAGE_MEMORY | PRIVILEGED_OFF | 20009|
| 9 | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_OFF | 16472|
| 9 | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_ON | 22473|
| 9 | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_OFF | 14335|
| 9 | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_ON | 20977|
| 9 | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_OFF | 16847|
| 9 | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_ON | 23352|
| 9 | METHOD_AREA | STORAGE_REG | PRIVILEGED_OFF | 14970|
| 9 | METHOD_AREA | STORAGE_REG | PRIVILEGED_ON | 21480|
| 9 | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_OFF | 20729|
| 9 | METHOD_COUNT | STORAGE_MEMORY | PRIVILEGED_OFF | 40023|
| 10 | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_OFF | 21967|
| 10 | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_ON | 30986|
| 10 | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_OFF | 18780|
| 10 | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_ON | 28729|
| 10 | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_OFF | 22535|
| 10 | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_ON | 32300|
| 10 | METHOD_AREA | STORAGE_REG | PRIVILEGED_OFF | 19717|
| 10 | METHOD_AREA | STORAGE_REG | PRIVILEGED_ON | 29482|
| 10 | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_OFF | 28355|
| 10 | METHOD_COUNT | STORAGE_MEMORY | PRIVILEGED_OFF | 60019|
| 11 | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_OFF | 27544|
| 11 | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_ON | 39557|
| 11 | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_OFF | 23283|
| 11 | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_ON | 36556|
| 11 | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_OFF | 28294|
| 11 | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_ON | 41320|
| 11 | METHOD_AREA | STORAGE_REG | PRIVILEGED_OFF | 24535|
| 11 | METHOD_AREA | STORAGE_REG | PRIVILEGED_ON | 37556|
| 11 | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_OFF | 36057|
| 11 | METHOD_COUNT | STORAGE_MEMORY | PRIVILEGED_OFF | 80021|
| 12 | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_OFF | 33117|
| 12 | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_ON | 48142|
| 12 | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_OFF | 27798|
| 12 | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_ON | 44385|
| 12 | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_OFF | 34055|
| 12 | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_ON | 50326|
| 12 | METHOD_AREA | STORAGE_REG | PRIVILEGED_OFF | 29361|
| 12 | METHOD_AREA | STORAGE_REG | PRIVILEGED_ON | 45644|
| 12 | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_OFF | 43755|
| 12 | METHOD_COUNT | STORAGE_MEMORY | PRIVILEGED_OFF | 100013|
| 13 | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_OFF | 38685|
| 13 | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_ON | 56710|
| 13 | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_OFF | 32294|
| 13 | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_ON | 52203|
| 13 | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_OFF | 39807|
| 13 | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_ON | 59335|
| 13 | METHOD_AREA | STORAGE_REG | PRIVILEGED_OFF | 34168|
| 13 | METHOD_AREA | STORAGE_REG | PRIVILEGED_ON | 53695|
| 13 | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_OFF | 51448|
| 13 | METHOD_COUNT | STORAGE_MEMORY | PRIVILEGED_OFF | 120025|
| 14 | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_OFF | 44240|
| 14 | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_ON | 65291|
| 14 | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_OFF | 36798|
| 14 | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_ON | 60016|
| 14 | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_OFF | 45566|
| 14 | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_ON | 68346|
| 14 | METHOD_AREA | STORAGE_REG | PRIVILEGED_OFF | 38987|
| 14 | METHOD_AREA | STORAGE_REG | PRIVILEGED_ON | 61781|
| 14 | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_OFF | 59150|
| 14 | METHOD_COUNT | STORAGE_MEMORY | PRIVILEGED_OFF | 140017|
| 15 | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_OFF | 49814|
| 15 | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_ON | 73846|
| 15 | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_OFF | 41302|
| 15 | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_ON | 67838|
| 15 | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_OFF | 51326|
| 15 | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_ON | 77359|
| 15 | METHOD_AREA | STORAGE_REG | PRIVILEGED_OFF | 43805|
| 15 | METHOD_AREA | STORAGE_REG | PRIVILEGED_ON | 69847|
| 15 | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_OFF | 66841|
| 15 | METHOD_COUNT | STORAGE_MEMORY | PRIVILEGED_OFF | 160013|
| 16 | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_OFF | 55403|
| 16 | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_ON | 82430|
| 16 | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_OFF | 45818|
| 16 | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_ON | 75671|
| 16 | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_OFF | 57088|
| 16 | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_ON | 86388|
| 16 | METHOD_AREA | STORAGE_REG | PRIVILEGED_OFF | 48631|
| 16 | METHOD_AREA | STORAGE_REG | PRIVILEGED_ON | 77925|
| 16 | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_OFF | 74541|
| 16 | METHOD_COUNT | STORAGE_MEMORY | PRIVILEGED_OFF | 180015|
| 17 | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_OFF | 60959|
| 17 | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_ON | 91005|
| 17 | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_OFF | 50315|
| 17 | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_ON | 83486|
| 17 | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_OFF | 62836|
| 17 | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_ON | 95387|
| 17 | METHOD_AREA | STORAGE_REG | PRIVILEGED_OFF | 53441|
| 17 | METHOD_AREA | STORAGE_REG | PRIVILEGED_ON | 86006|
| 17 | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_OFF | 82227|
| 17 | METHOD_COUNT | STORAGE_MEMORY | PRIVILEGED_OFF | 200033|
| 18 | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_OFF | 66525|
| 18 | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_ON | 99570|
| 18 | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_OFF | 54818|
| 18 | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_ON | 91302|
| 18 | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_OFF | 68584|
| 18 | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_ON | 104400|
| 18 | METHOD_AREA | STORAGE_REG | PRIVILEGED_OFF | 58261|
| 18 | METHOD_AREA | STORAGE_REG | PRIVILEGED_ON | 94049|
| 18 | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_OFF | 89923|
| 18 | METHOD_COUNT | STORAGE_MEMORY | PRIVILEGED_OFF | 220033|
| 19 | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_OFF | 72089|
| 19 | METHOD_SHADOW | STORAGE_MEMORY | PRIVILEGED_ON | 108127|
| 19 | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_OFF | 59319|
| 19 | METHOD_SHADOW | STORAGE_REG | PRIVILEGED_ON | 99129|
| 19 | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_OFF | 74340|
| 19 | METHOD_AREA | STORAGE_MEMORY | PRIVILEGED_ON | 113388|
| 19 | METHOD_AREA | STORAGE_REG | PRIVILEGED_OFF | 63070|
| 19 | METHOD_AREA | STORAGE_REG | PRIVILEGED_ON | 102129|
| 19 | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_OFF | 97625|
| 19 | METHOD_COUNT | STORAGE_MEMORY | PRIVILEGED_OFF | 240021|
| 1 | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_OFF | 1891 |
| 1 | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_ON | 1892 |
| 1 | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_ON | 1892 |
| 1 | METHOD_SHADOW_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 168 |
| 1 | METHOD_AREA_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 180 |
| 1 | METHOD_COMPRESS_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 48 |
| 2 | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_ON | 2446 |
| 2 | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_OFF | 2447 |
| 2 | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_ON | 2447 |
| 2 | METHOD_SHADOW_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 168 |
| 2 | METHOD_AREA_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 180 |
| 2 | METHOD_COMPRESS_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 48 |
| 3 | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_ON | 3009 |
| 3 | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_OFF | 3009 |
| 3 | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_ON | 3009 |
| 3 | METHOD_SHADOW_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 168 |
| 3 | METHOD_AREA_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 180 |
| 3 | METHOD_COMPRESS_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 48 |
| 4 | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_ON | 3575 |
| 4 | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_OFF | 3576 |
| 4 | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_ON | 3576 |
| 4 | METHOD_SHADOW_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 168 |
| 4 | METHOD_AREA_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 180 |
| 4 | METHOD_COMPRESS_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 48 |
